date,Mkt-RF,SMB,HML,RMW,CMA,RF
1974-01-31,-0.16,10.39,5.95,-2.92,4.49,0.63
1974-02-28,-0.46,0.12,2.47,-1.85,2.67,0.58
1974-03-31,-2.82,2.62,-0.14,2.9,0.44,0.56
1974-04-30,-5.28,-0.66,0.92,2.71,2.14,0.75
1974-05-31,-4.7,-3.06,-2.08,5.01,-0.33,0.75
1974-06-30,-2.84,-0.05,0.83,0.5,2.98,0.6
1974-07-31,-8.06,1.84,5.16,-3.2,4.5,0.7
1974-08-31,-9.39,0.28,2.61,-0.29,2.59,0.6
1974-09-30,-11.78,1.47,5.43,-4.33,5.82,0.81
1974-10-31,16.1,-6.78,-9.91,-0.29,-2.91,0.51
1974-11-30,-4.53,-1.41,-0.25,-3.42,2.9,0.54
1974-12-31,-3.45,-4.27,0.12,-0.76,3.38,0.7
1975-01-31,13.67,12.88,8.26,-0.54,-1.05,0.58
1975-02-28,5.56,-0.69,-4.47,1.17,-2.11,0.43
1975-03-31,2.66,3.97,2.42,1.25,-1.34,0.41
1975-04-30,4.22,-0.69,-1.13,1.39,-1.37,0.44
1975-05-31,5.2,2.98,-4.05,-1.13,-0.56,0.44
1975-06-30,4.87,1.33,1.35,-2.7,1.07,0.41
1975-07-31,-6.6,3.4,1.76,0.45,1.24,0.48
1975-08-31,-2.84,-2.77,-0.91,1.09,-0.99,0.48
1975-09-30,-4.26,-0.02,0.33,0.58,0.57,0.53
1975-10-31,5.32,-4.25,0.35,-0.52,2.28,0.56
1975-11-30,2.65,-1.1,2.03,-0.66,1.74,0.41
1975-12-31,-1.6,-0.16,1.7,-0.11,0.77,0.48
1976-01-31,12.16,6.39,8.63,-1.75,2.33,0.47
1976-02-29,0.32,7.91,5.71,-2.55,3.7,0.34
1976-03-31,2.32,-1.38,-0.11,-0.38,0.99,0.4
1976-04-30,-1.48,0.1,-0.16,0.45,-1.05,0.42
1976-05-31,-1.35,-1.09,-1.29,2.43,-1.39,0.37
1976-06-30,4.05,-1.07,0.73,-0.67,1.02,0.43
1976-07-31,-1.06,0.61,1.74,-1.03,0.3,0.47
